alias,code,vendor_type
马塞约,BRA000004000,ctrip_air
纳塔尔,BRA000005000,ctrip_air
萨尔瓦多,SLV000000000,ctrip_air
惠斯勒,CAN000004000,ctrip_air
贾斯珀,CAN000005000,ctrip_air
坎卢普斯,CAN000006000,ctrip_air
布尔诺,CZE000001000,ctrip_air
卡罗维发利,CZE0000KA000,ctrip_air
亚琛,DEU000007000,ctrip_air
卡塞尔,DEU000KAS000,ctrip_air
曼海姆,DEU000MHG000,ctrip_air
赫尔格达,EGY000001000,ctrip_air
沙姆沙伊赫湾 ,EGY000002000,ctrip_air
塔巴,EGY000003000,ctrip_air
布尔戈斯,ESP000BUR000,ctrip_air
圣塞瓦斯蒂安,ESP000011000,ctrip_air
赫罗纳,ESP000GRO000,ctrip_air
阿尔梅里亚,ESP000LEI000,ctrip_air
洛格罗尼奥,ESP000012000,ctrip_air
穆尔西亚,ESP000MJV000,ctrip_air
萨拉戈萨,ESP000ZAZ000,ctrip_air
苏瓦,FJI000001000,ctrip_air
鲁昂,FRA000URO000,ctrip_air
考文垂,GBRENGCOV000,ctrip_air
格劳斯特,GBR000009000,ctrip_air
约克郡,GBR000010000,ctrip_air
伦敦德里,GBR000011000,ctrip_air
纽基,GBR000012000,ctrip_air
普利茅斯,GBRENGPLY000,ctrip_air
罗得岛,GRC000002000,ctrip_air
巴淡岛,IDN000012000,ctrip_air
基尔肯尼,IRL0000KK000,ctrip_air
海法,ISR000HFA000,ctrip_air
